#a Hd   HgM    DgM   V  Hc  G
7	1.4	1.3	0	0.64	0.00   0.03
8	1.84	1.69	1.4	0.87	0.50   0.12
9	2.32	2.11	2.3	1.43	0.62   0.37 
10	2.84	2.54	3.3	2.58	0.76   0.85
11	3.38	2.99	4.3	4.58	0.93   1.62 
12	3.93	3.46	5.2	7.63	1.11   2.74
13	4.5	3.95	6.2	11.85	1.31   4.18
14	5.07	4.46	7.1	17.23	1.53   5.88
15	5.66	4.99	8	23.67	1.77   7.76
16	6.25	5.53	8.9	31	2.03   9.73
17	6.84	6.08	9.8	39.05	2.29  11.71
18	7.43	6.64	10.6	47.7	2.57  13.65 
19	8.01	7.21	11.3	56.83	2.87  15.51 
20	8.59	7.79	12.1	66.3	3.17  17.29
