year Hdom Hav Dbhav N       G      V  Vnbark
20  6.7  4.7  4.8  7900    14.0  60  44
25  9.0  6.2  6.2  5540    17.7  96  72
30  11.1  7.7  7.6  4370    21.2  135  102
35  13.1  9.3  9.0  3370    24.2  167  132
40  14.9  10.9  10.4  2700    26.6  200  162
45  16.6  12.7  11.8  2225    28.5  231  191
50  18.2  14.4  13.2  1885  30.2  260  219
55  19.8  16.2  14.6  1610  31.7  288  246
60  21.1  17.8  16.0  1415  32.9  313  270
65  22.4  19.3  17.4  1260  33.9  339  294
70  23.4  20.6  18.8  1140  34.7  363  317
75  24.3  21.7  20.2  1027  35.2  387  338
80  25.0  22.7  21.6  940   35.7  407  359
