H	stemsw	needles	stem	brasw	brahw	
8.90    0.502	0.113	0.663	0.215	0.009
9.70	0.521	0.114	0.674	0.203	0.010
9.50	0.598	0.126	0.749	0.117	0.008
13.50	0.596	0.089	0.767	0.134	0.010
13.20	0.558	0.073	0.764	0.154	0.008
14.30	0.569	0.099	0.729	0.163   0.009
22.10	0.515	0.039	0.852	0.097   0.012
20.10	0.573	0.038	0.882	0.075   0.004
26.20	0.395	0.027	0.823	0.115   0.035
25.50	0.356	0.025	0.876	0.037   0.063
5.00	0.309	0.276	0.440	0.271   0.013
5.60	0.409	0.214	0.543	0.231	0.011
16.60	0.576	0.060	0.715	0.213	0.011
17.90	0.581	0.057	0.783	0.142	0.019
22.50	0.473	0.032	0.862	0.089	0.017
24.80	0.590	0.019	0.921	0.052	0.008
32.40	0.375	0.013	0.893	0.054	0.041
32.20	0.442	0.013	0.905	0.072	0.010
